video_id,title,channel,published_at
HZW0RCfzFFE,Bagaimana Kebijakan Publik Dibuat?,MALAKA,2025-06-05T11:34:39Z
CnwNiDu9s7Q,NALAR Ep. 01. KEBIJAKAN PUBLIK (1/2),NALAR INSTITUTE,2020-09-18T12:00:13Z
WeNvCZ2ND0Q,Masyarakat Harus Melek Kebijakan Publik! Jangan Mau Dirugikan,METRO TV ,2023-05-22T10:35:58Z
qPuDTJhWJxM,"Pengamat Kebijakan Publik: Swasta Kalau Libur Bersama Potong Cuti, Itu Pelanggaran HAM | IBF tvOne",tvOneNews ,2025-06-04T14:27:38Z
fQrOuJd5RPg,Pemerintahan Jokowi Dinilai Inkonsisten dalam Pembuatan Kebijakan Publik,Kompas.com,2022-02-23T05:55:35Z
QNPnTnldZFo,"Jokowi Digugat Rp 5 853 Triliun Buntut Dugaan Ijazah Palsu, TIPU UGM Perbuatan Melanggar Hukum",Tribunnews,2025-06-09T14:18:29Z
kA8e5Bhc7co,"Isu Pemakzulan Gibran Bisa Rugikan Jokowi, Bukan Prabowo",Bisniscom,2025-06-09T12:49:22Z
VCcIC35LOZE,Respon Politikus PPP Setelah Jokowi Pilih PSI #politics #indonesia #jokowi,TV Andi,2025-06-10T23:50:00Z
kATlHsL34Xg,Bola Pemakzulan Gibran di DPR,CNN Indonesia,2025-06-07T01:00:46Z
lxJwtetN5HU,"Riuh Lengser Gibran Rakabuming, Rocky Gerung Terawang Jokowi Ikut Terseret",Tribun MedanTV,2025-06-06T12:01:23Z
HjfL_hQqkck,"10 TAHUN PEMERINTAHAN JOKOWI, KEPOLOSIAN SEPERTI ANAK EMAS",Terus Terang Media,2025-06-09T09:00:24Z
5OXpg8wY-C8,Jokowi &quot;Bayangi&quot; Pemerintahan Prabowo? | AKIP tvOne,tvOneNews ,2025-06-09T03:50:59Z
VlNmSgCTBqQ,Bahlil Bantah Jokowi Terlibat Aktivitas Tambang di Raja Ampat #shorts,METRO TV ,2025-06-11T12:24:45Z
XomPk9974po,Bahlil Bantah Kapal Inisial JKW dalam Tambang Nikel Milik Jokowi,Tribun Papua,2025-06-11T02:16:17Z
brfXutTnLCg,"Kapal Nikel &#39;JKW Mahakam&#39; Heboh, Bahlil Pasang Badan: Jokowi Tak Terlibat",Suaradotcom,2025-06-11T10:18:25Z
v477uq_p1ig,"Bagaimana upah dan UMR pekerja setelah putusan MK ubah sebagian UU Cipta Kerja, dan apa dampaknya",BBC News Indonesia,2024-11-09T08:50:19Z
CSDNXX002vs,"Simak! 7 Poin Penting ini Keluar dari Cipta Kerja, MK Minta UU Tenaga Kerja Baru",KOMPASTV,2024-11-01T09:19:46Z
pFRlV2Kuzhw,UU Cipta Kerja &amp; PHK: Apa Saja yang Berubah ?,Water & Renewable Energy Learning Center,2025-01-17T03:52:35Z
nasPaGzswgI,"Besaran Pesangon Dalam UU Cipta Kerja, Begini Detailnya",BeritaSatu,2020-10-06T11:45:02Z
AgKEvHfdUpQ,Bedah Poin Perubahan di UU Cipta Kerja,CNBC Indonesia,2020-10-08T03:38:31Z
j3PdQt5au40,Kebijakan sosial pemerintah,Muhammad Zainal arifin,2019-03-12T17:40:04Z
Ixu4JCA1kvo,KEBIJAKAN SOSIAL-EKONOMI PEMERINTAH PENDUDUKAN JEPANG DI INDONESIA,tri aswanto,2016-02-04T06:08:44Z
e-DdaGiFM-Q,Sosialisasi Pengukuran Nasional Indeks Kualitas Kebijakan 2025,Lembaga Administrasi Negara RI,2025-06-11T04:56:42Z
mCiiFIYCvYo,KEBIJAKAN SOSIAL-EKONOMI PEMERINTAH PENDUDUKAN JEPANG DI INDONESIA,Nailus Soraya,2025-04-11T10:58:21Z
nSOTPTGxvpk,Kebijakan Sosial,Astri Hanjarwati,2020-10-21T23:49:39Z
